0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
2.000000000000e-01	2.000002000102e-04	2.000002000004e-04	-9.832222926456e-15
4.000000000000e-01	8.000032000268e-04	8.000032000252e-04	-1.599848725720e-15
6.000000000000e-01	1.800016200292e-03	1.800016200290e-03	-2.321493691726e-15
8.000000000000e-01	3.200051201631e-03	3.200051201632e-03	1.442422570275e-15
1.000000000000e+00	5.000125006248e-03	5.000125006236e-03	-1.206326705194e-14
1.200000000000e+00	7.200259218664e-03	7.200259218634e-03	-2.934111287267e-14
1.400000000000e+00	9.800480247065e-03	9.800480247011e-03	-5.496644805980e-14
1.600000000000e+00	1.280081930487e-02	1.280081930478e-02	-8.955336472383e-14
1.800000000000e+00	1.620131241262e-02	1.620131241247e-02	-1.458382026254e-13
2.000000000000e+00	2.000200040010e-02	2.000200039988e-02	-2.172845237070e-13
2.200000000000e+00	2.420292890884e-02	2.420292890852e-02	-3.127220704613e-13
2.400000000000e+00	2.880414839483e-02	2.880414839438e-02	-4.428991895455e-13
2.600000000000e+00	3.380571413155e-02	3.380571413094e-02	-6.011510733650e-13
2.800000000000e+00	3.920768621329e-02	3.920768621251e-02	-7.805839308261e-13
3.000000000000e+00	4.501012955882e-02	4.501012955781e-02	-1.012807893108e-12
3.200000000000e+00	5.121311391518e-02	5.121311391391e-02	-1.271795169178e-12
3.400000000000e+00	5.781671386201e-02	5.781671386043e-02	-1.582872721784e-12
3.600000000000e+00	6.482100881591e-02	6.482100881399e-02	-1.924585490976e-12
3.800000000000e+00	7.222608303536e-02	7.222608303303e-02	-2.334799020787e-12
4.000000000000e+00	8.003202562563e-02	8.003202562286e-02	-2.765287998585e-12
4.200000000000e+00	8.823893054432e-02	8.823893054107e-02	-3.253258773483e-12
4.400000000000e+00	9.684689660692e-02	9.684689660314e-02	-3.782821278442e-12
4.600000000000e+00	1.058560274928e-01	1.058560274884e-01	-4.333991499017e-12
4.800000000000e+00	1.152664317515e-01	1.152664317465e-01	-4.946862364186e-12
5.000000000000e+00	1.250782228091e-01	1.250782228035e-01	-5.573708161677e-12
5.200000000000e+00	1.352915189755e-01	1.352915189693e-01	-6.228767501781e-12
5.400000000000e+00	1.459064434512e-01	1.459064434443e-01	-6.895400916918e-12
5.600000000000e+00	1.569231243348e-01	1.569231243272e-01	-7.586931083381e-12
5.800000000000e+00	1.683416946308e-01	1.683416946225e-01	-8.276351826098e-12
6.000000000000e+00	1.801622922578e-01	1.801622922488e-01	-8.963912945248e-12
6.200000000000e+00	1.923850600567e-01	1.923850600470e-01	-9.624939734110e-12
6.400000000000e+00	2.050101457994e-01	2.050101457891e-01	-1.026487228550e-11
6.600000000000e+00	2.180377021979e-01	2.180377021870e-01	-1.085243006571e-11
6.800000000000e+00	2.314678869134e-01	2.314678869020e-01	-1.141356453793e-11
7.000000000000e+00	2.453008625659e-01	2.453008625540e-01	-1.190256226913e-11
7.200000000000e+00	2.595367967443e-01	2.595367967320e-01	-1.231603707907e-11
7.400000000000e+00	2.741758620166e-01	2.741758620039e-01	-1.263761317816e-11
7.600000000000e+00	2.892182359400e-01	2.892182359271e-01	-1.286665218814e-11
7.800000000000e+00	3.046641010724e-01	3.046641010594e-01	-1.300287655326e-11
8.000000000000e+00	3.205136449831e-01	3.205136449701e-01	-1.301247998242e-11
8.200000000000e+00	3.367670602644e-01	3.367670602515e-01	-1.288857909287e-11
8.400000000000e+00	3.534245445434e-01	3.534245445308e-01	-1.264721660732e-11
8.600000000000e+00	3.704863004943e-01	3.704863004820e-01	-1.225930468252e-11
8.800000000000e+00	3.879525358504e-01	3.879525358386e-01	-1.173999786275e-11
9.000000000000e+00	4.058234634173e-01	4.058234634062e-01	-1.108696467966e-11
9.200000000000e+00	4.240993010859e-01	4.240993010756e-01	-1.027217200189e-11
9.400000000000e+00	4.427802718457e-01	4.427802718363e-01	-9.333978034931e-12
9.600000000000e+00	4.618666037985e-01	4.618666037903e-01	-8.265554907183e-12
9.800000000000e+00	4.813585301729e-01	4.813585301658e-01	-7.066569551739e-12
1.000000000000e+01	5.012562893380e-01	5.012562893323e-01	-5.747957665392e-12
1.020000000000e+01	5.215601248190e-01	5.215601248147e-01	-4.335976022674e-12
1.040000000000e+01	5.422702853117e-01	5.422702853088e-01	-2.841060720016e-12
1.060000000000e+01	5.633870246980e-01	5.633870246967e-01	-1.278865902066e-12
1.080000000000e+01	5.849106020620e-01	5.849106020623e-01	3.220756994438e-13
1.100000000000e+01	6.068412817059e-01	6.068412817079e-01	1.948663452822e-12
1.120000000000e+01	6.291793331664e-01	6.291793331700e-01	3.564482042862e-12
1.140000000000e+01	6.519250312317e-01	6.519250312369e-01	5.155320614847e-12
1.160000000000e+01	6.750786559587e-01	6.750786559653e-01	6.668332552806e-12
1.180000000000e+01	6.986404926901e-01	6.986404926982e-01	8.098854920036e-12
1.200000000000e+01	7.226108320731e-01	7.226108320826e-01	9.406475598439e-12
1.220000000000e+01	7.469899700770e-01	7.469899700875e-01	1.055000531380e-11
1.240000000000e+01	7.717782080118e-01	7.717782080233e-01	1.151989614812e-11
1.260000000000e+01	7.969758525477e-01	7.969758525600e-01	1.227773438472e-11
1.280000000000e+01	8.225832157340e-01	8.225832157468e-01	1.278521732928e-11
1.300000000000e+01	8.486006150191e-01	8.486006150321e-01	1.304689689618e-11
1.320000000000e+01	8.750283732701e-01	8.750283732832e-01	1.301780905294e-11
1.340000000000e+01	9.018668187942e-01	9.018668188069e-01	1.270450411539e-11
